population_size,mutation_rate,n_hidden_neurons_1,n_hidden_neurons_2,generations,best_fitness,highest_mean_fitness
200,0.05,10,5,30,93.33193985886487,88.12354814452536
200,0.05,10,5,50,93.40956741322127,90.04981013460456
200,0.05,10,5,100,93.92482618476618,92.66994060688994
200,0.05,10,10,30,93.37504998251859,85.52236874879495
200,0.05,10,10,50,93.37504998251859,91.31926379235033
200,0.05,10,10,100,93.37504998251859,92.17492890151242
200,0.05,10,15,30,93.2070431491098,87.01105412973251
200,0.05,10,15,50,93.37504998251859,88.3822632392122
200,0.05,10,15,100,93.76304739758636,91.10995574853496
200,0.05,10,25,30,93.33193985886487,89.31727847189691
200,0.05,10,25,50,93.37504998251859,87.58108466646148
200,0.05,10,25,100,93.37504998251859,92.51104440731685
200,0.05,20,5,30,93.37504998251859,88.41653504994767
200,0.05,20,5,50,93.46728120673463,88.22716146208582
200,0.05,20,5,100,93.37504998251859,91.37011597071691
200,0.05,20,10,30,93.37504998251859,87.90143998678795
200,0.05,20,10,50,93.40956741322127,90.33748896862545
200,0.05,20,10,100,93.96956207860757,91.99249599612423
200,0.05,20,15,30,93.33193985886487,89.52498708363859
200,0.05,20,15,50,93.37504998251859,88.40881291563612
200,0.05,20,15,100,93.9001335721758,89.61865937585883
200,0.05,20,25,30,93.33616819497439,89.4961710500312
200,0.05,20,25,50,93.33193985886487,90.61654849645923
200,0.05,20,25,100,93.37504998251859,90.9813804364398
200,0.05,30,5,30,93.33193985886487,89.15674141480919
200,0.05,30,5,50,94.33740496697304,87.24109509663681
200,0.05,30,5,100,93.37504998251859,90.35811470899392
200,0.05,30,10,30,93.40956741322127,86.62135969200311
200,0.05,30,10,50,93.32772932632852,90.18458195432987
200,0.05,30,10,100,93.76956207860756,91.42586039794766
200,0.05,30,15,30,93.33193985886487,86.60162120022328
200,0.05,30,15,50,93.33193985886487,88.4176848654983
200,0.05,30,15,100,93.88200618758324,90.84624107450013
200,0.05,30,25,30,93.33616819497439,85.45661830054934
200,0.05,30,25,50,93.40956741322127,88.68938936473536
200,0.05,30,25,100,93.92482618476618,91.30910787788062
200,0.05,50,5,30,93.37504998251859,89.02398532056078
200,0.05,50,5,50,93.37504998251859,89.34559720129403
200,0.05,50,5,100,93.37504998251859,91.2302839185705
200,0.05,50,10,30,93.33193985886487,85.16062406435037
200,0.05,50,10,50,93.46728120673463,89.27053962607727
200,0.05,50,10,100,93.76956207860756,90.4941086381696
200,0.05,50,15,30,93.40956741322127,88.91819175787403
200,0.05,50,15,50,93.67603602059674,89.8911478977952
200,0.05,50,15,100,93.37504998251859,92.0732109474763
200,0.05,50,25,30,93.40956741322127,87.26860836054209
200,0.05,50,25,50,93.37504998251859,89.88237643924404
200,0.05,50,25,100,93.91859563501554,90.69195333756038
200,0.1,10,5,30,92.84094470078547,89.91827135307359
200,0.1,10,5,50,93.33193985886487,91.04246739881786
200,0.1,10,5,100,93.40956741322127,91.30614900808133
200,0.1,10,10,30,93.2070431491098,88.6009318582658
200,0.1,10,10,50,93.67603602059674,90.64416801150107
200,0.1,10,10,100,93.37504998251859,91.16777471058042
200,0.1,10,15,30,93.40956741322127,88.79107713438438
200,0.1,10,15,50,93.17504998251859,91.09319440420794
200,0.1,10,15,100,93.88200618758324,89.34147798246282
200,0.1,10,25,30,93.40956741322127,88.05496623736529
200,0.1,10,25,50,93.40956741322127,87.2141206408057
200,0.1,10,25,100,93.68801221164345,90.76930764891269
200,0.1,20,5,30,93.40956741322127,90.08308380233892
200,0.1,20,5,50,93.33193985886487,89.18405965196014
200,0.1,20,5,100,93.59605369405453,92.49560863749059
200,0.1,20,10,30,93.13214184093668,90.68597772207868
200,0.1,20,10,50,93.37504998251859,89.05800224443469
200,0.1,20,10,100,93.37611947915373,90.9207286214911
200,0.1,20,15,30,93.40956741322127,88.17591121337254
200,0.1,20,15,50,93.37504998251859,90.79081067898638
200,0.1,20,15,100,93.33193985886487,90.17732610344028
200,0.1,20,25,30,93.40956741322127,85.46361829222185
200,0.1,20,25,50,93.33740496697304,88.24944103555919
200,0.1,20,25,100,94.00278772623588,88.38655300495087
200,0.1,30,5,30,93.88200618758324,88.38464482495296
200,0.1,30,5,50,93.33193985886487,89.98739212007092
200,0.1,30,5,100,93.97611947915372,91.07201825210295
200,0.1,30,10,30,93.20278772623588,88.67723235916478
200,0.1,30,10,50,93.20278772623588,89.02778752731847
200,0.1,30,10,100,93.46728120673463,90.42835202402013
200,0.1,30,15,30,93.40956741322127,86.5192248345212
200,0.1,30,15,50,93.40956741322127,88.65126228097442
200,0.1,30,15,100,93.53214184093667,90.32521968926642
200,0.1,30,25,30,93.13214184093668,85.88767801353725
200,0.1,30,25,50,93.67603602059674,90.91982195909557
200,0.1,30,25,100,93.92482618476618,89.01968098173182
200,0.1,50,5,30,93.33193985886487,86.6934421279373
200,0.1,50,5,50,93.33193985886487,88.98516151300352
200,0.1,50,5,100,93.37504998251859,92.28373714774352
200,0.1,50,10,30,93.33193985886487,87.2150868049504
200,0.1,50,10,50,93.37504998251859,90.00467156251918
200,0.1,50,10,100,93.53214184093667,89.53294690482657
200,0.1,50,15,30,93.20278772623588,88.08362800205023
